group,n,mae_form,mae_band
SG12_Al0.0_Ga0.2,1,0.000480856113484196,0.040972841588209796
SG12_Al0.0_Ga0.3,1,0.00538698753892472,0.04287521927901927
SG12_Al0.0_Ga0.4,2,0.005978520578906774,0.03543571862586303
SG12_Al0.0_Ga0.5,2,0.004667261105357335,0.061090863665955064
SG12_Al0.0_Ga0.6,1,0.00806598151510626,0.04511764965883014
SG12_Al0.0_Ga0.7,3,0.006349010637926222,0.050074900330327576
SG12_Al0.0_Ga0.8,2,0.0014611985245710935,0.017999572870770364
SG12_Al0.1_Ga0.0,1,0.019615831723255817,0.20463798771304242
SG12_Al0.1_Ga0.2,1,0.014265038963794996,0.005705799434606584
SG12_Al0.1_Ga0.5,1,0.007046258222603463,0.0843181338308896
SG12_Al0.1_Ga0.6,2,0.005115555752179483,0.049572931870942805
SG12_Al0.1_Ga0.8,1,0.0007731973730014177,0.003359847732388399
SG12_Al0.1_Ga0.9,2,0.0018174352653542976,0.04506419639625947
SG12_Al0.2_Ga0.1,1,0.025990510208457884,0.024494070336184892
SG12_Al0.2_Ga0.2,1,0.014190744650186826,0.03872170741537739
SG12_Al0.2_Ga0.3,1,0.02246799455682358,0.16251711699994198
SG12_Al0.2_Ga0.4,1,0.004614964212073636,0.1508993986534808
SG12_Al0.2_Ga0.5,3,0.013094199105231186,0.03869763246146215
SG12_Al0.2_Ga0.8,1,0.002123905099686123,0.02961688591339362
SG12_Al0.3_Ga0.2,1,0.019035067105141162,0.03214200367984299
SG12_Al0.3_Ga0.3,5,0.010871629014777517,0.06782372422957997
SG12_Al0.3_Ga0.4,4,0.00874016778713256,0.07501400473423508
SG12_Al0.3_Ga0.5,2,0.011544277690276314,0.10053147099029025
SG12_Al0.3_Ga0.6,1,0.015037893612783376,0.031488928451093745
SG12_Al0.4_Ga0.0,1,0.055416919055013114,0.18997127571773054
SG12_Al0.4_Ga0.2,4,0.0034051734887296167,0.11825014317102955
SG12_Al0.4_Ga0.3,6,0.008976290369827907,0.06971850337159229
SG12_Al0.4_Ga0.4,2,0.003761792805972823,0.09438092869519821
SG12_Al0.4_Ga0.6,1,0.004192460268963652,0.04649845006818776
SG12_Al0.5_Ga0.1,1,0.01995931823748004,0.12516627748514209
SG12_Al0.5_Ga0.2,3,0.012374967977709067,0.0638267509573333
SG12_Al0.5_Ga0.3,1,0.031822443134313566,0.09866864506338313
